IGBP,TIMESTAMP,LAT,LON,BLUE_L,GREEN_L,RED_L,NIR_L,SWIR1_L,SWIR2_L,NDVI_L,LSWI_L,NIRV_L,NIRVP_L,PAR_M,TA_E,VPD_E
OSH,2004-10-26,55.9167,-98.9644,0.26560116,0.276599701,0.269696344,0.346689206,0.068538108,0.047377804,0.124910233,0.669401112,0.043305029,1.435761739,33.15461875,268.7907874,0.118015488
OSH,2004-11-04,55.9167,-98.9644,0.1569308,0.15662778,0.147955306,0.221258004,0.111989535,0.077248235,0.198537529,0.3288442,0.043928017,0.545199421,12.41120025,271.4617939,0.081714032
OSH,2004-11-11,55.9167,-98.9644,0.221246088,0.222820448,0.213869577,0.303460422,0.087219223,0.061513243,0.173179297,0.55505198,0.052553062,1.002871916,19.08303475,263.3187021,0.100858849
OSH,2005-01-30,55.9167,-98.9644,0.61846327,0.642378985,0.643478954,0.67005628,0.170799376,0.126313871,0.020233432,0.594400174,0.013557538,0.172621654,12.73252188,260.0568631,0.047435722
OSH,2005-02-15,55.9167,-98.9644,0.596694527,0.622686534,0.629757762,0.663585835,0.193591934,0.146575001,0.026155519,0.547948636,0.017356432,0.471730474,27.1790005,251.6013006,0.033278107
OSH,2005-03-12,55.9167,-98.9644,0.607411682,0.612780746,0.606319137,0.613606709,0.197653463,0.147754555,0.005973783,0.512704126,0.003665553,0.175296433,47.82264284,253.0849895,0.04026875
OSH,2005-03-28,55.9167,-98.9644,0.928217547,0.576130092,0.571449202,0.601364168,0.076942312,0.049256478,0.025507013,0.773006269,0.015339004,1.078211513,70.2921485,262.4531994,0.062183071
OSH,2005-04-04,55.9167,-98.9644,1.137659271,0.544987274,0.544692557,0.533143754,0.048115785,0.031502024,-0.010714802,0.834161729,-0.00571253,-0.516983342,90.49989188,274.8243345,0.244183172
OSH,2005-05-15,55.9167,-98.9644,0.047785304,0.060558769,0.065379329,0.145130956,0.202295982,0.139840951,0.378849075,-0.163273305,0.054982729,7.746437356,140.8885583,276.8052667,0.418463854
OSH,2005-05-31,55.9167,-98.9644,0.045817965,0.062514455,0.061993759,0.175084151,0.217229056,0.14125557,0.477017836,-0.106778867,0.083518263,10.4097684,124.6406242,291.7308954,0.993992414
OSH,2005-06-07,55.9167,-98.9644,0.035187247,0.056159383,0.053054813,0.172974247,0.183892361,0.116527129,0.530548744,-0.030645371,0.091771269,14.44913407,157.4472511,282.5386639,0.496126278
OSH,2005-07-18,55.9167,-98.9644,0.03124063,0.05118817,0.039781003,0.240827359,0.171831555,0.092101375,0.716466021,0.164518346,0.17254462,22.9666062,133.1053163,285.2258129,0.486762573
OSH,2005-09-04,55.9167,-98.9644,0.043867631,0.06795794,0.056229325,0.231523056,0.163181719,0.087085211,0.609182554,0.171385829,0.141039806,9.792794914,69.43284433,288.3618266,0.269578656
DBF,2000-03-26,53.6289,-106.1978,0.236160548,0.25238923,0.256778105,0.2812335,0.082844381,0.060704496,0.045455143,0.543987512,0.012783509,1.143396707,89.4431025,274.9396756,0.192694036
DBF,2000-05-29,53.6289,-106.1978,0.028217677,0.059135874,0.038545005,0.310519123,0.159738456,0.069751525,0.779152298,0.31898514,0.241941688,34.37784018,142.0914289,282.2179616,0.537531359
DBF,2000-10-27,53.6289,-106.1978,0.048883509,0.058351413,0.071268022,0.148584382,0.151226736,0.091933546,0.351673931,-0.00859897,0.052253254,1.302931206,24.93492975,273.6687368,0.233837457
DBF,2001-03-20,53.6289,-106.1978,0.233276524,0.251491318,0.256345623,0.291329582,0.096059319,0.071164738,0.063877202,0.50364309,0.018609319,1.483925326,79.74098125,263.7892742,0.11905834
DBF,2001-04-14,53.6289,-106.1978,0.31183,0.314525,0.3257725,0.378435,0.14463,0.10085,0.074782646,0.446990336,0.028300371,1.556169965,54.987618,268.4342804,0.114568917
DBF,2001-04-21,53.6289,-106.1978,0.071894608,0.087909354,0.098866683,0.158201574,0.178351273,0.126875657,0.230813763,-0.056941926,0.036515101,4.225682145,115.7242364,270.1169586,0.317305624
DBF,2001-04-30,53.6289,-106.1978,0.047980249,0.065941905,0.079775958,0.153831815,0.234749268,0.168234578,0.317009387,-0.208032821,0.048766129,5.528238704,113.3622615,284.1280359,0.856388292
DBF,2001-05-07,53.6289,-106.1978,0.052175923,0.072735104,0.075355735,0.17530114,0.203354641,0.132586999,0.398733944,-0.074228754,0.069898515,9.100853396,130.200955,279.5257765,0.528572472
DBF,2001-05-23,53.6289,-106.1978,0.023150465,0.044922795,0.033343708,0.258895749,0.136625558,0.063024897,0.771805572,0.308810859,0.199817182,31.55627511,157.9257342,285.3641268,0.799770425
DBF,2001-06-01,53.6289,-106.1978,0.021907141,0.040918823,0.027147746,0.352869778,0.141148247,0.056348312,0.857123716,0.428004596,0.302453055,44.1251447,145.8908876,285.3798688,0.452529218
DBF,2001-06-08,53.6289,-106.1978,0.056993115,0.077682569,0.062285705,0.430480842,0.177738753,0.078293739,0.747199944,0.416344377,0.321655261,37.28369335,115.911965,288.9453824,0.65386014
DBF,2001-07-03,53.6289,-106.1978,0.019750841,0.034738329,0.022299424,0.399039381,0.150640764,0.055455775,0.894149678,0.451713262,0.356800934,53.43916418,149.77305,288.8211257,0.674699128
DBF,2001-07-19,53.6289,-106.1978,0.019080368,0.035180037,0.024442401,0.379215866,0.146766282,0.052904305,0.878895578,0.441556883,0.333291148,50.37285306,151.1376867,292.7083982,0.94053969
DBF,2001-08-04,53.6289,-106.1978,0.019408267,0.033019183,0.020657643,0.375710935,0.149746849,0.051942522,0.895765487,0.429801355,0.336548888,46.24551599,137.4109901,298.1919765,1.151340081
DBF,2001-08-27,53.6289,-106.1978,0.018717527,0.034548379,0.022978961,0.318445387,0.131019081,0.043177318,0.865393543,0.416460078,0.275580582,29.34950429,106.5006254,292.8557046,1.119374822
