TA_E,VPD_E,PAR_M,NDVI_L,NIRV_L,LSWI_L,NIRVP_L,prediction_label
257.3685,0.05634112,40.99369,0.1195694,0.029446524,0.40321457,1.2071217,0.025591093831499052
260.1005,0.05413914,37.71573,0.09936435,0.026520386,0.40470415,1.0002357,0.025591093831499052
271.26196,0.14356333,81.48554,0.026070584,0.0085786,0.5977689,0.6990319,0.2601914872097034
278.81503,0.32435715,64.74011,0.1146047,0.023849836,0.30251873,1.5440409,0.9651663016062744
279.10974,0.33563784,105.896706,0.28309417,0.04173257,-0.1772318,4.4193416,0.4926906613235964
285.20895,0.6129404,117.609085,0.3168275,0.044586193,-0.21669796,5.243741,1.0009828410352968
283.1254,0.47421315,108.8026,0.3700775,0.055976942,-0.14473216,6.090437,1.3084675804932848
282.3875,0.380576,121.67377,0.62607205,0.13354142,0.10525638,16.248487,3.445780108176472
291.2202,0.95719945,134.77829,0.875992,0.32360983,0.3873654,43.615578,11.461539924449664
290.17984,0.7302167,117.410965,0.8552963,0.29506874,0.40739453,34.644306,9.576566406667832
291.9577,0.7950284,130.92142,0.8498747,0.3057285,0.37373632,40.02641,10.395436188446297
294.57794,0.60414165,100.434654,0.83893037,0.28127298,0.39613008,28.249554,8.691304925751199
288.22043,0.31871262,116.5552,0.86385864,0.29543126,0.39332005,34.43405,9.490201973957099
293.72073,0.58935714,111.16876,0.68994075,0.2466704,0.3322656,27.422043,8.862218868537864
290.2646,0.69834226,107.60323,0.84632283,0.26301926,0.37755242,28.301725,8.216358546647726
289.63257,0.9293036,103.84433,0.8206992,0.23909973,0.36362895,24.829151,7.855343876056488
287.38297,0.47960466,90.71816,0.7678053,0.21215323,0.35813066,19.246151,6.528090046654421
281.1675,0.2504605,71.99147,0.77261436,0.209502,0.3558613,15.082357,4.464843094124949
282.6696,0.19820367,58.223114,0.3620665,0.054431114,-0.040464494,3.169149,1.196663806249166
270.6689,0.19101082,40.91899,0.27638182,0.040661473,0.09982817,1.6638263,0.3381564983419841
273.24533,0.20786582,32.114723,0.37486714,0.041989192,-0.09980035,1.3484713,0.4120182809239689
270.79126,0.09959492,21.317743,0.14680746,0.034167703,0.42742804,0.72837836,0.2670575644239531
261.12137,0.045782793,33.165615,0.044008706,0.013025471,0.5079887,0.43199778,0.025591093831499052
270.6172,0.16246252,89.24192,0.047669668,0.015418214,0.597346,1.375951,0.2601914872097034
263.4163,0.1442711,99.31017,0.034729477,0.010824657,0.59019977,1.0749985,0.06858084560969609
289.1276,0.90901756,118.4143,0.68436337,0.17933406,0.18546127,21.235716,5.937708476292033
292.88995,0.83054185,78.16849,0.7781861,0.25197098,0.31034854,19.696192,6.114016808182398
292.41458,0.8002843,147.86115,0.8570309,0.27321735,0.35524267,40.39823,9.976322576081188
294.22513,0.91372675,138.22476,0.81243765,0.22368088,0.33297285,30.918238,8.948660129497812
267.72562,0.092021585,79.68024,0.028514199,0.009156613,0.4924866,0.7296011,0.1387291924208482
266.3913,0.12033291,95.58152,0.02409602,0.008247305,0.5359441,0.78828996,0.11692300263300572
277.96213,0.32380003,101.88011,0.044470392,0.010319378,0.39351785,1.0513394,0.7747028650719044
279.41916,0.49404258,126.35917,0.2696796,0.03329036,-0.26551762,4.206542,0.37998027949437424
277.69937,0.42367944,133.69272,0.2869565,0.034251407,-0.2909783,4.5791636,0.38875845295254363
